id,policy_system,sub_policy_system,intervention,featured,confidence_level,help_text,,,
690,Combinations,Multiple Non-Education Interventions in Childhood ,Increased Earned Income Tax Credit (child)  + moving to a neighborhood with a lower poverty rate,,FALSE,Effects of having access to Increased Earned Income Tax Credit and moving to a neighborhood with a lower poverty rate on a child's future income,Having access to  Increased Earned Income Tax Credit and moving to a neighborhood with a lower poverty rate on a child's future income,Effects of having access to  Increased Earned Income Tax Credit and moving to a neighborhood with a lower poverty rate on a child's future income,having access to  Increased Earned Income Tax Credit and moving to a neighborhood with a lower poverty rate on a child's future income
692,Combinations,Multiple Non-Education Interventions in Childhood ,Affordable housing (child) + moving to a neighborhood with a lower poverty rate,,FALSE,Effects of having access to affordable housing and moving to a neighborhood with a lower poverty rate on a child's future income,Having access to  affordable housing and moving to a neighborhood with a lower poverty rate on a child's future income,Effects of having access to  affordable housing and moving to a neighborhood with a lower poverty rate on a child's future income,having access to  affordable housing and moving to a neighborhood with a lower poverty rate on a child's future income
694,Combinations,Multiple Non-Education Interventions in Childhood ,Increased Supplemental Nutrition Assistance (child) + community investment,,FALSE,Effects of having access to Increased Supplemental Nutrition Assistance and community investment on a child's future income,Having access to  Increased Supplemental Nutrition Assistance and community investment on a child's future income,Effects of having access to  Increased Supplemental Nutrition Assistance and community investment on a child's future income,having access to  Increased Supplemental Nutrition Assistance and community investment on a child's future income
696,Combinations,3+ Interventions ,Accessing increased public benefits (child) + affordable housing + moving to a neighborhood with a lower poverty rate,,FALSE,Effects of having access to increased public benefits (child) and affordable housing and moving to a neighborhood with a lower poverty rate on a child's future income,Having access to  increased public benefits (child) and affordable housing and moving to a neighborhood with a lower poverty rate on a child's future income,Effects of having access to  increased public benefits (child) and affordable housing and moving to a neighborhood with a lower poverty rate on a child's future income,having access to  increased public benefits (child) and affordable housing and moving to a neighborhood with a lower poverty rate on a child's future income
700,Combinations,Household Support + Criminal Justice Reform,Accessing increased public benefits (child) + decriminalization strategies,,FALSE,Effects of having access to increased public benefits (child) and decriminalization strategies on a child's future income,Having access to  increased public benefits (child) and decriminalization strategies on a child's future income,Effects of having access to  increased public benefits (child) and decriminalization strategies on a child's future income,having access to  increased public benefits (child) and decriminalization strategies on a child's future income
704,Combinations,Childhood + Adult Interventions ,Accessing increased pubic benefits (child) + union representation ,,FALSE,Effects of having access to increased pubic benefits (child) and union representation  on a child's future income,Having access to  increased pubic benefits (child) and union representation  on a child's future income,Effects of having access to  increased pubic benefits (child) and union representation  on a child's future income,having access to  increased pubic benefits (child) and union representation  on a child's future income
706,Combinations,Childhood + Adult Interventions ,Accessing increased public benefits (child) + increased minimum wage ,,FALSE,Effects of having access to increased public benefits (child) and increased minimum wage  on a child's future income,Having access to  increased public benefits (child) and increased minimum wage  on a child's future income,Effects of having access to  increased public benefits (child) and increased minimum wage  on a child's future income,having access to  increased public benefits (child) and increased minimum wage  on a child's future income
710,Combinations,Childhood + Adult Interventions ,Accessing increased public benefits (child) +  increased Earned Income Tax Credit (adult) ,,FALSE,Effects of having access to increased public benefits (child) and  increased Earned Income Tax Credit (adult)  on a child's future income,Having access to  increased public benefits (child) and  increased Earned Income Tax Credit (adult)  on a child's future income,Effects of having access to  increased public benefits (child) and  increased Earned Income Tax Credit (adult)  on a child's future income,having access to  increased public benefits (child) and  increased Earned Income Tax Credit (adult)  on a child's future income
712,Combinations,Childhood + Adult Interventions ,Accessing increased public benefits (child) + affordable housing (child) + increased Earned Income Tax Credit (adult)  ,,FALSE,Effects of having access to increased public benefits (child) and affordable housing (child) and increased Earned Income Tax Credit (adult)   on a child's future income,Having access to  increased public benefits (child) and affordable housing (child) and increased Earned Income Tax Credit (adult)   on a child's future income,Effects of having access to  increased public benefits (child) and affordable housing (child) and increased Earned Income Tax Credit (adult)   on a child's future income,having access to  increased public benefits (child) and affordable housing (child) and increased Earned Income Tax Credit (adult)   on a child's future income
716,Combinations,Childhood + Adult Interventions ,Accessing increased public benefits (child) + regulation of fringe lenders  ,,FALSE,Effects of having access to increased public benefits (child) and regulation of fringe lenders   on a child's future income,Having access to  increased public benefits (child) and regulation of fringe lenders   on a child's future income,Effects of having access to  increased public benefits (child) and regulation of fringe lenders   on a child's future income,having access to  increased public benefits (child) and regulation of fringe lenders   on a child's future income
718,Combinations,Childhood + Adult Interventions ,Accessing increased public benefits (child) + affordable housing (adult) ,,FALSE,Effects of having access to increased public benefits (child) and affordable housing (adult)  on a child's future income,Having access to  increased public benefits (child) and affordable housing (adult)  on a child's future income,Effects of having access to  increased public benefits (child) and affordable housing (adult)  on a child's future income,having access to  increased public benefits (child) and affordable housing (adult)  on a child's future income
720,Combinations,Childhood + Adult Interventions ,Affordable housing (child) + affordable housing (adult) ,,FALSE,Effects of having access to affordable housing as an child and affordable housing as an adult,Having access to affordable housing as an child and affordable housing as an adult,Effects of having access to affordable housing as an child and affordable housing as an adult,having access to affordable housing as an child and affordable housing as an adult
724,Combinations,Multiple Non-Education Interventions in Childhood ,Community investment + community investment,,FALSE,Effect on child's future income of significant community investment,,Effects of ,
728,Combinations,Multiple Non-Education Interventions in Childhood ,Community investment + decriminalization policies,,FALSE,Effects on child's future income of moderate community investment and decriminalization policies as an adolescent/young adult,,Effects of ,
730,Combinations,Multiple Non-Education Interventions in Childhood ,Community investment + drug court ,,FALSE,Effects on child's future income of moderate community investment and drug court as an adolescent/young adult,,Effects of ,
734,Combinations,Multiple Non-Education Interventions in Childhood ,Community investment + union representation ,,FALSE,Effects on child's future income of moderate community investment and union representation as an adult,,Effects of ,
738,Combinations,Childhood + Adult Interventions ,Community investment + increased Earned Income Tax Credit (adult) ,,FALSE,Effects on child's future income of moderate community investment and  increased Earned Income Tax Credit as an adult,,Effects of ,
742,Combinations,Childhood + Adult Interventions ,Community investment + affordable housing (adult),,FALSE,Effects on child's future income of moderate community investment and access to affordable housing as an adult,,Effects of ,
830,Combinations,Multiple Non-Education Interventions in Childhood ,Public defenders + bail reform,,FALSE,Effects on adolescent/young adult's future income of public defenders and bail reform as an adolescent/young adult,,Effects of ,
750,Combinations,Childhood + Adult Interventions ,Decriminalization policies + union representation ,,FALSE,Effects on adolescent/young adult's future income of decriminalization as an adolescent/young adult and union representation as an adult,,Effects of ,
754,Combinations,Childhood + Adult Interventions ,Decriminalization policies + increased Earned Income Tax Credit (adult) ,,FALSE,Effects on adolescent/young adult's future income of decriminalization as an adolescent/young adult and Earned Income Tax Credit as an adult,,Effects of ,
758,Combinations,Childhood + Adult Interventions ,Decriminalization policies + affordable housing (adult) ,,FALSE,Effects on adolescent/young adult's future income of decriminalization as an adolescent/young adult and Earned Income Tax Credit as an adult,,Effects of ,
762,Combinations,Multiple Adult Interventions,Union representation + increased Earned Income Tax Credit (adult) ,,FALSE,Effects on adolescent/young adult's future income of decriminalization as an adolescent/young adult and Earned Income Tax Credit as an adult,,Effects of ,
764,Combinations,Multiple Adult Interventions,Competition policy + increased Supplemental Nutrition Assistance (adult),,FALSE,Having access to a competition policy and having access to increased Supplemental Nutrition Assistance as an adult,,Effects of ,
768,Combinations,Multiple Adult Interventions,Union representation + regulation of fringe lenders,,FALSE,Having access to Union representation and regulation of fringe lenders,,Effects of ,
770,Combinations,Multiple Adult Interventions,Union representation + affordable housing (adult) ,,FALSE,Having access to union representation and affordable housing as an adult,,Effects of ,
774,Combinations,Multiple Adult Interventions,increased Earned Income Tax Credit (adult) + increased Earned Income Tax Credit (adult) ,,FALSE,Having access to increased Earned Income Tax Credit and increased Earned Income Tax Credit as an adult,,Effects of ,
778,Combinations,Multiple Adult Interventions,increased Earned Income Tax Credit (adult)  + affordable housing (adult) ,,FALSE,Having access to increased Earned Income Tax Credit and affordable housing as an adult,,Effects of ,
782,Combinations,Multiple Adult Interventions,Affordable housing (adult) + regulation of fringe lenders ,,FALSE,Having access to affordable housing and regulation of fringe lenders as an adult,,Effects of ,
786,Combinations,Multiple Non-Education Interventions in Childhood ,Affordable housing (child) + avoiding interactions with the criminal justice system ,,FALSE,Effects of having access to affordable housing as a child and avoiding interactions with the criminal justice system as a adolescent/young adult on a child's future income,,Effects of ,
788,Combinations,Multiple Mobility Experiences,Accessing early childhood education + accessing extracurriculars ,,FALSE,Having access to early childhood education and extracurriculars  on a child's future income,,Effects of ,
790,Combinations,Multiple Mobility Experiences,Accessing medical care (child) + accessing to nutritious diet (child) ,,FALSE,Having access to medical care and a nutritious diet on a child's future income,,Effects of ,
792,Combinations,Multiple Mobility Experiences,Low exposure to ACEs + not having to provide unpaid care ,,FALSE,Effects of low exposure to ACEs as a child and not having to provide unpaid care as an adult,,Effects of ,
794,Combinations,Multiple Mobility Experiences,Affordable housing (child) + access to public benefits (child) + accessing early childhood education ,,FALSE,"Having access to affordable housing, public benefits and early childhood education  on a child's future income",,Effects of ,
796,Combinations,Multiple Mobility Experiences,Affordable housing (child) + access to public benefits (child) + accessing early childhood education + living in a high mobility neighborhood,,FALSE,"Having access to affordable housing, access to public benefits, early childhood education and living in a high mobility neighborhood on a child's future income",,Effects of ,
798,Combinations,Multiple Mobility Experiences,Accessing nutritious diet + accessing extracurriculars + having strong networks ,,FALSE,"Having access to a nutritious diet, extracurriculars and having strong networks  on a child's future income",,Effects of ,
802,Combinations,Multiple Mobility Experiences,"Avoiding involuntary unemployment + accessing stable, affordable housing (adult)",,FALSE,"Effects of avoiding involuntary unemployment and accessing stable, affordable housing as an adult",,Effects of ,
804,Combinations,Multiple Mobility Experiences,Obtaining first job with opportunity for advancement + receiving job skills or training,,FALSE,Effects of obtaining a first job with opportunity for advancement and receiving job skills or training,,Effects of ,
806,Combinations,Multiple Mobility Experiences,Accessing public benefits (adult) + experiencing financial inclusion ,,FALSE,Effects of accessing public benefits and experiencing financial inclusion,,Effects of ,
808,Combinations,Multiple Mobility Experiences,Living with adult partner + accessing medical care (adult) ,,FALSE,Effects of living with adult partner and accessing medical care,,Effects of ,
810,Combinations,Multiple Mobility Experiences,"Receiving job skills or training + accessing stable, affordable housing + accessing public benefits (adult) ",,FALSE,"Effects of receiving job skills or training, accessing stable, affordable housing and accessing public benefits",,Effects of ,
812,Combinations,Multiple Mobility Experiences,Accessing physical / digital infrastructure + accessing public benefits (adult) ,,FALSE,Having access to physical / digital infrastructure and accessing public benefits as an adult on a child's future income,,Effects of ,
816,Combinations,Multiple Mobility Experiences,Completing college + obtain first job with opportunity for advancement ,,FALSE,Effects of completing college and obtaining a first job with opportunity for advancement on a child's future income,,Effects of ,
818,Combinations,Multiple Mobility Experiences,Accessing early childhood education + living in a high mobility neighborhood + receiving mentorship + accessing affordable housing (adult),,FALSE,"Having access to early childhood education, living in a high mobility neighborhood, receiving mentorship and accessing affordable housing as an adult on a child's future income",,Effects of ,
820,Combinations,Multiple Mobility Experiences,Affordable housing (child) + accessing early childhood education + receiving mentorship + experiencing financial inclusion + affordable housing (adult) ,,FALSE,"Having access to affordable housing, early childhood education, receiving mentorship and experiencing financial inclusion as an adult and affordable housing as an adult",,Effects of ,
822,Combinations,Multiple Mobility Experiences,Accessing early childhood education + affordable housing (child) + living in a high mobility neighborhood + receiving job skills or training + affordable housing (adult) ,,FALSE,"Having access to early childhood education, affordable housing, living in a high mobility neighborhood and receiving job skills or training as an adult and affordable housing as an adult",,Effects of ,
826,Combinations,3+ Interventions,Model preschool + affordable housing (child) + K-12 education funding reform + union representation + affordable housing (adult),,FALSE,"Having access to a model preschool, affordable housing, K-12 education funding reform, union representation as an adult and affordable housing as an adult",,Effects of ,
828,Combinations,3+ Interventions,Model preschool + affordable housing (child) + community investment + teacher quality + union representation + affordable housing (adult) + experiencing financial inclusion (adult),,FALSE,"Having access to a model preschool, affordable housing, community investment, teacher quality, union representation as an adult, affordable housing as an adult and experiencing financial inclusion as an adult",,Effects of ,
